,data,next_cursor,limit,count
12,"{'condition_id': '0x3648ab7c146a9a85957e07c1d43a82272be71fde767822fd425e10ba0d6c0757', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '2006684570364241896555682377056547936147873475006821796350135481625081540323', 'outcome': 'Yes', 'price': 0, 'winner': False}, {'token_id': '38580130314633104723975394735082095016667349014635620492800619699027053776775', 'outcome': 'No', 'price': 1, 'winner': True}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
13,"{'condition_id': '0xd305baec7b9b2438d05e887dc84dbbb293a670ee443e541cbe888bfc5f1ba8dd', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '80317148485891539958670478226829607361073081528131995578326247003331251222905', 'outcome': 'Yes', 'price': 1, 'winner': True}, {'token_id': '33695348115320054463196433943582480679912032441776069653471158744634743283132', 'outcome': 'No', 'price': 0, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
14,"{'condition_id': '0x4276d9db726fc5cd4e301087130b2d5b788d69eefaab55dd9bdb74028432ba6f', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '26277764470810345299003231733401105721055084599268283615195275932247963254036', 'outcome': 'Yes', 'price': 1, 'winner': False}, {'token_id': '89490644244792538802475544410657374413762042703380950905548250070573965676201', 'outcome': 'No', 'price': 0, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
15,"{'condition_id': '0xe3c42f6d6223c0355d7183ce2405e8b2e2456c536049ace975ec9f0622032a28', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '111217048893715148157293144589148822103495183890716026407706555406529831978704', 'outcome': 'Yes', 'price': 0, 'winner': False}, {'token_id': '46488845053814239550329716747192174658319884883435178911240212665914360946200', 'outcome': 'No', 'price': 1, 'winner': True}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': True}",NTAw,500,500
16,"{'condition_id': '0x562a1c278fd84b9cd2147253fc9497ca07a616a59f7bc0c99966f321fa4493f4', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '54640934133536830902397330678975503905046193373389601769070372963866091231957', 'outcome': 'Nuggets', 'price': 0, 'winner': False}, {'token_id': '73846022821775452420510801414699435002181305341883749007420582766954188197731', 'outcome': 'Magic', 'price': 1, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
17,"{'condition_id': '0x0caf5c072f5abb4fe484b569949a9e414dc73d0d1af81be5effea1c2a48e4833', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '48479984676432677557122491017951160228301130784207804545419686276865000611799', 'outcome': 'Cowboys', 'price': 0, 'winner': False}, {'token_id': '2378343026668080329104976767517727241272432729431210934811362920156207029722', 'outcome': 'Commanders', 'price': 1, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
18,"{'condition_id': '0xb2835b87edf84f35410ea3f67ab405eb23cec6b28a1a3cbb74d2121b2683bddd', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '75388453175673390925887192961877051339942627464791920979479914258685676338113', 'outcome': 'Timberwolves', 'price': 0, 'winner': False}, {'token_id': '75884604363331020702010010062153706901528683806226469978870246936595827326638', 'outcome': 'Hornets', 'price': 0, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
19,"{'condition_id': '0x9dd2a37809c893a30f08ec6aeeb64e7cadcc57fbcb5daf9f0eb24533064c0bce', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '91646825519638652024924938233183993113817051408588594977041410882710500489699', 'outcome': 'Wizards', 'price': 0, 'winner': False}, {'token_id': '42561342105699289867748558774727847086530139782461365942429335937524190283716', 'outcome': 'Timberwolves', 'price': 0, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
20,"{'condition_id': '0x9c4d05a5b1cec55d56626ede111048cb6c43ec8e8c777f794b605d33be0c82ec', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '105045584662682185685970556727114212674702864314804848740433640162087194646657', 'outcome': 'Yes', 'price': 0.0003, 'winner': False}, {'token_id': '68611577922343702457318296073818808816474842546502335416540125778940444670828', 'outcome': 'No', 'price': 0.9997, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
21,"{'condition_id': '0x7c97080dfbbe71bfa52ba51c82cb0cdfe47cd7b87842047c58647c8ff1d1fef4', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '36161990524808999529099890841186860907449767867066339846328156147773282747583', 'outcome': 'Yes', 'price': 0.5, 'winner': False}, {'token_id': '88382165465289170402091181886889254434956734707438989610790870159465989274007', 'outcome': 'No', 'price': 0.5, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': True}",NTAw,500,500
22,"{'condition_id': '0xcdb5f97de6c7fa67609e5fd0545849b7b4e793fb8e0201848055e067a266b40e', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '11576521136575099849385883235663155833368306550321607714359007906075648349803', 'outcome': 'Spurs', 'price': 0, 'winner': False}, {'token_id': '100039998699816614152856871179428873640982415180033412111434792938940515041689', 'outcome': 'Pistions', 'price': 0, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
23,"{'condition_id': '0x861b87321dbad58c882e759cfbfa342220c046f744d7e33fca88c76163a80b8a', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '58556933860919823136363034858350137516783358604730966165576766857388929443670', 'outcome': 'Cavaliers', 'price': 0, 'winner': False}, {'token_id': '11564094347444367748502745048442614568542571248209980739419451790417047890262', 'outcome': '76ers', 'price': 0, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
24,"{'condition_id': '0x7bdbb78a104e7301cc9c6e0fef64bb5733c8fbe69ab8082cf26e227f91908ffa', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '66840793208895902134770756801876217714621927881254495944557040037466903434752', 'outcome': 'Guardians', 'price': 0, 'winner': False}, {'token_id': '93483829706271419755141541597999290384499264524196374818190642418621166604124', 'outcome': 'Padres', 'price': 0, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
25,"{'condition_id': '0x93745569f8eae315ab44bbbd18488fd2d27e4186f46d8eaed06d8274149d0075', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '91062083114111419090146042256013828236846209012589195527260997553275751363870', 'outcome': 'Heat', 'price': 0, 'winner': False}, {'token_id': '87862754686612201098057740431247290272317516763067575263787157830295359132466', 'outcome': 'Knicks', 'price': 0, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
26,"{'condition_id': '0xf570dd1484dad512183817748d6507b17e16736ef91df40d05345e8e726f4df9', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '13109914525314007783369415104821535023801033353474231036967098629785285692162', 'outcome': 'Heads', 'price': 0.0009, 'winner': False}, {'token_id': '113528814845123801954085407107675128841064143464487037489866258250548055997029', 'outcome': 'Tails', 'price': 0.9991, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
27,"{'condition_id': '0xacb2aabc6f3fead7c19d52a2b82dc4438ba9589e1ff941da4622e59a4819e0c1', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '57799010478442185186541101940219441451580652511487999095465280793256099865060', 'outcome': 'Yes', 'price': 0, 'winner': False}, {'token_id': '81347501698120116916167526881389993665530258702224869565300630059944140685798', 'outcome': 'No', 'price': 1, 'winner': True}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': True}",NTAw,500,500
28,"{'condition_id': '0x7bb90b216f9686eeec780ca9cc89757080e613c3973ecfb64c7b6348d258ee1d', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '83397941921678775177683698896713734782694378595265047324995459758729944336733', 'outcome': 'Yes', 'price': 0, 'winner': False}, {'token_id': '54376193854027976185359139865055464685675647818930004480778101848362114898677', 'outcome': 'No', 'price': 1, 'winner': True}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
29,"{'condition_id': '', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '', 'outcome': '', 'price': 0, 'winner': False}, {'token_id': '', 'outcome': '', 'price': 0, 'winner': False}], 'active': False, 'closed': False, 'archived': False, 'accepting_orders': False}",NTAw,500,500
30,"{'condition_id': '0xa6c757e355ebcaa746e4fd536c2569ffa351ae3e1cb5128a4b8ceb20fe3457f9', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '22538174636485934940027636373677582368107415722015463009710356520063913489587', 'outcome': 'Raptors', 'price': 0, 'winner': False}, {'token_id': '80336766040688627616373985911307379853811101047295394316772736219543244300874', 'outcome': 'Jazz', 'price': 0, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
31,"{'condition_id': '0x3960e6ba226b18e349a586703c942d334325f3c026d179a7bcf8a524edaa40f4', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '57965156656408802359577770578870325632966587434597313703831843903067339521534', 'outcome': 'Lakers', 'price': 0.0103, 'winner': False}, {'token_id': '93890034186926678173262422619289397844700156066643024731317888375308177390719', 'outcome': 'Pacers', 'price': 0.9897, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
32,"{'condition_id': '0x3dd748f11097f1f4fe8c1adb5344360fd3ec2f0492d5eff1f1f2f0a2c15b2bba', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '81983093341191476262286143310663812867867275697167728942955235200118231569217', 'outcome': 'Spurs', 'price': 0, 'winner': False}, {'token_id': '18284392647815941035264138827427279305648882581745969633980766749963629113970', 'outcome': 'Hawks', 'price': 0, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
33,"{'condition_id': '0xdef4297663a67c326bf3eba80f74eaf6de133e73649eb31fb2f9007b77a6c4db', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '99560205050468630605733531253970693390389883242407639061855702452844865650446', 'outcome': 'Wizards', 'price': 0.5836, 'winner': False}, {'token_id': '107955480110052033110246745496872269905396859894479319446315236006108307643567', 'outcome': 'Pistons', 'price': 0.4164, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
34,"{'condition_id': '0x8715043d46e61f2540e5d63288582a21ffe8ed735ac566211683802624de3a05', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '20665929052353072937598277467925056741715448248602136210995928171550484153000', 'outcome': 'Yes', 'price': 0.0012, 'winner': False}, {'token_id': '106929547166703607828459627041878197823020003915292162458264870868342231274626', 'outcome': 'No', 'price': 0.9988, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
