,condition_id,token_id,outcome,price,winner,min_incentive_size,max_incentive_spread,active,closed
0,0x9deb0baac40648821f96f01339229a422e2f5c877de55dc4dbf981f95a1e709c,14270523446080509320829200481895961480205553513304203367521919818541658424782,Chiefs,1.0,False,0.0,0.0,True,True
1,,,,0.0,False,0.0,0.0,False,False
2,0x5317986240be3ab100ccbebeb8213ab45d1f5c502e6da17e1c9b30f9c6dcb52c,112856288650667655013857354239294366111272834754068370340237314111424124768219,Yes,1.0,True,0.0,0.0,True,True
3,0x3d23087a0ed34ca1577afb1ae860714e9deddc8ff3cbfc5c15929c1472c59203,20492996617166017062175278506524441320525786101399791089815795223193644269098,Yes,0.0001,False,0.0,0.0,True,True
4,0x9831cf4e59285e5487e788d8a1435cb4753b9076a38512848ac1488348192f27,67301836300648827488886150283993448209143439372241617696200490831510066942724,Yes,1.0,True,0.0,0.0,True,True
5,0x92e46e922e9f87353535007c0e254ec43fc97c84a4a9a11a135d6c8d5c1ddf3d,31516658159749091294002641874775521581363766436343246251138419132667956781116,Maddalena,1.0,True,0.0,0.0,True,True
6,0x81d356ed5d42b84038a414187a8bb64afb597946c89c629220a98736bea25421,8906446780448623832893600210111371071244279387238615932903449715921300937001,Yes,0.0,False,0.0,0.0,True,True
7,0x2a5cf651ddefca0f57f09a3eee5e1ec7372012453deb8aeada73bd0e80710123,57069541293691464872739795149914974745895488382005475601197514215101185779756,Lakers,0.9693,False,0.0,0.0,True,True
8,0x4f036df28c705bf2e02318dac9e82fe3da62c682a238d37f16e389737dccafc6,78383847163528190035708608095701681360797858898215934742325379956281696898450,Yes,0.9979,False,0.0,0.0,True,True
9,0x7bc9c1311924e8dc2907dc00591b3d9528683f75924b99c436cca16dca39a28d,18701906317507298752028556213680793592795050346143743596744388137594776057836,Bulls,0.0002,False,0.0,0.0,True,True
10,0xe6837ecc9485f588af6858b0b307293ba1af60969fa386c59af2da8e37b1fd94,34481482853889239557635054125294223660163902387435233350481658461894480561203,Yes,0.0004,False,0.0,0.0,True,True
11,0x0de4ed9c811667ff9485e0f7aa3788a8db7c2147050f33defef2e2a302665433,45119618568427259556353873688243668201774394578145125280438548676993229690946,Celtics,0.0,False,0.0,0.0,True,True
12,0x3648ab7c146a9a85957e07c1d43a82272be71fde767822fd425e10ba0d6c0757,2006684570364241896555682377056547936147873475006821796350135481625081540323,Yes,0.0,False,0.0,0.0,True,True
13,0xd305baec7b9b2438d05e887dc84dbbb293a670ee443e541cbe888bfc5f1ba8dd,80317148485891539958670478226829607361073081528131995578326247003331251222905,Yes,1.0,True,0.0,0.0,True,True
14,0x4276d9db726fc5cd4e301087130b2d5b788d69eefaab55dd9bdb74028432ba6f,26277764470810345299003231733401105721055084599268283615195275932247963254036,Yes,1.0,False,0.0,0.0,True,True
